1000	Bruxelles	Bruxelles-Capitale	Bruxelles		50.8466	4.3528
1005	Conseil Region Bruxelles-Capitale	Bruxelles-Capitale	Bruxelles		50.8466	4.3528
1006	Raad Vlaamse Gemeenschapscommissie	Bruxelles-Capitale	Bruxelles		50.8466	4.3528
1007	Ass. Commiss. Communau. française	Bruxelles-Capitale	Bruxelles		50.8466	4.3528
1008	Chambre des Représentants	Bruxelles-Capitale	Bruxelles		50.8466	4.3528
1009	Senat de Belgique	Bruxelles-Capitale	Bruxelles		50.8466	4.3528
1010	Cité Administrative de l'Etat	Bruxelles-Capitale	Bruxelles		50.8476	4.3428
1011	Vlaamse Raad - Vlaams Parlement	Bruxelles-Capitale	Bruxelles		50.8476	4.3428
1012	Parlement de la Communauté française	Bruxelles-Capitale	Bruxelles		50.8476	4.3428
1020	Bruxelles	Bruxelles-Capitale	Bruxelles		50.8466	4.3528
1020	Bruxelles Laeken	Bruxelles-Capitale	Bruxelles		50.8466	4.3528
1030	Bruxelles	Bruxelles-Capitale	Bruxelles		50.8466	4.3528
1030	Bruxelles Schaarbeek	Bruxelles-Capitale	Bruxelles		50.85	4.3833
1031	Organisations Sociales Chrétiennes	Bruxelles-Capitale	Bruxelles		50.8483	4.3681
1040	Bruxelles Etterbeek	Bruxelles-Capitale	Bruxelles		50.8358	4.388
1040	Bruxelles	Bruxelles-Capitale	Bruxelles		50.8466	4.3528
1041	International Press Center	Bruxelles-Capitale	Bruxelles		50.8412	4.3704
1043	VRT	Bruxelles-Capitale	Bruxelles		50.8412	4.3704
1044	RTBF	Bruxelles-Capitale	Bruxelles		50.8412	4.3704
1045	D.I.V.	Bruxelles-Capitale	Bruxelles		50.8412	4.3704
1047	Parlement Européen	Bruxelles-Capitale	Bruxelles		50.8412	4.3704
1048	U.E.-Conseil	Bruxelles-Capitale	Bruxelles		50.8412	4.3704
1049	U.E.-Commission	Bruxelles-Capitale	Bruxelles		50.8412	4.3704
1050	Bruxelles Ixelles	Bruxelles-Capitale	Bruxelles		50.8333	4.3667
1050	Bruxelles	Bruxelles-Capitale	Bruxelles		50.8466	4.3528
