Postal Code,Place Name,State,County,Latitude,Longitude
1725,Sarpsborg,Ostfold,Sarpsborg,59.2839,11.1096
1726,Sarpsborg,Ostfold,Sarpsborg,59.2839,11.1096
1727,Sarpsborg,Ostfold,Sarpsborg,59.2839,11.1096
1730,Ise,Ostfold,Sarpsborg,59.3,11.2333
1733,Hafslundsøy,Ostfold,Sarpsborg,59.2916,11.1498
1734,Hafslundsøy,Ostfold,Sarpsborg,59.2919,11.1483
1735,Varteig,Ostfold,Sarpsborg,59.3504,11.1882
1738,Borgenhaugen,Ostfold,Sarpsborg,59.2665,11.1463
1739,Borgenhaugen,Ostfold,Sarpsborg,59.2663,11.1767
1740,Borgenhaugen,Ostfold,Sarpsborg,59.2333,11.2
1742,Klavestadhaugen,Ostfold,Sarpsborg,59.2333,11.2
1743,Klavestadhaugen,Ostfold,Sarpsborg,59.2333,11.2
1745,Skjeberg,Ostfold,Sarpsborg,59.2333,11.2
1746,Skjeberg,Ostfold,Sarpsborg,59.2333,11.2
1747,Skjeberg,Ostfold,Sarpsborg,59.2333,11.2
1601,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1602,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1603,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1604,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1605,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1606,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1607,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1608,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1609,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1610,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1612,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1613,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1614,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1615,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1616,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1617,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1618,Fredrikstad,Ostfold,Fredrikstad,59.234,10.9836
1619,Fredrikstad,Ostfold,Fredrikstad,59.2181,10.9298
1620,Gressvik,Ostfold,Fredrikstad,59.2167,10.9
1621,Gressvik,Ostfold,Fredrikstad,59.2167,10.9
1624,Gressvik,Ostfold,Fredrikstad,59.2167,10.9
1625,Manstad,Ostfold,Fredrikstad,59.2647,10.7881
1626,Manstad,Ostfold,Fredrikstad,59.269,10.7692
1628,Engelsviken,Ostfold,Fredrikstad,59.2508,10.7369
1629,Gamle Fredrikstad,Ostfold,Fredrikstad,59.2042,10.9557
1630,Gamle Fredrikstad,Ostfold,Fredrikstad,59.2132,10.9389
1632,Gamle Fredrikstad,Ostfold,Fredrikstad,59.2132,10.9389
1633,Gamle Fredrikstad,Ostfold,Fredrikstad,59.2132,10.9389
1634,Gamle Fredrikstad,Ostfold,Fredrikstad,59.1849,11.0501
1636,Gamle Fredrikstad,Ostfold,Fredrikstad,59.2132,10.9389
1637,Gamle Fredrikstad,Ostfold,Fredrikstad,59.2132,10.9389
1638,Gamle Fredrikstad,Ostfold,Fredrikstad,59.2173,11.0084
1639,Gamle Fredrikstad,Ostfold,Fredrikstad,59.212,11.003
1650,Sellebakk,Ostfold,Fredrikstad,59.2333,11
1651,Sellebakk,Ostfold,Fredrikstad,59.2333,11
1653,Sellebakk,Ostfold,Fredrikstad,59.2333,11
1654,Sellebakk,Ostfold,Fredrikstad,59.2333,11
1655,Sellebakk,Ostfold,Fredrikstad,59.2183,11.0615
1657,Torp,Ostfold,Fredrikstad,59.25,11.0333
1658,Torp,Ostfold,Fredrikstad,59.25,11.0333
1659,Torp,Ostfold,Fredrikstad,59.25,11.0333
1661,Rolvsøy,Ostfold,Fredrikstad,59.2457,10.9967
1662,Rolvsøy,Ostfold,Fredrikstad,59.2552,10.9999
1663,Rolvsøy,Ostfold,Fredrikstad,59.2538,10.9916
1664,Rolvsøy,Ostfold,Fredrikstad,59.2632,11.0046
1665,Rolvsøy,Ostfold,Fredrikstad,59.2679,10.9972
1666,Rolvsøy,Ostfold,Fredrikstad,59.2655,11.0199
1667,Rolvsøy,Ostfold,Fredrikstad,59.293,10.9964
